index,file name,movie name,ch,location in ch (min/frames),length,AR (approx),size,genre (IMDB),genre category,# cuts,faces (0-5),human figures (0-5),nature (0-5),man-made objects (0-5),environment,light (0-5),light category,aud. Info,possible question,possible answers,content elements
82,ADVEN_12a,Adventureland,12,00:03.00/72-00:33.04/792,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,7,1,4,0,4,outdoor,4,high,4,"what is the setting of this scene, and why do you think so?","amusement park; balloons, ""games games games"" shirt, stuffed banana prizes, rides in background,",
83,ADVEN_15a,Adventureland,15,01:21.96/1965-01:51.97/2684,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,6,1,5,0,2,indoor,2,low,4,decsribe the behavior of the two women,"on left: quiet, withdrawn, unhappy, doesn't want to dance. On right: excited, enthusiastic, drunk",
84,ADVEN_18a,Adventureland,18,00:08.15/196-00:38.17/915,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,6,4,2,0,2,indoor,3,medium,5,describe the woman,"wearing blue, blue eyeshadow, pink lipstick, curly light brown hair, long fake red nails, birthmark, makeup",
85,ADVEN_24a,Adventureland,24,00:00.00/00-00:30.01/719,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,6,2,5,0,2,outdoor,4,high,4,tell me about bobby and paulette,,
86,ADVEN_9a,Adventureland,9,00:14.48/347-00:44.51/1067,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x468,comedy/drama/romance,drama/other,3,2,5,0,4,outdoor,4,high,3,"describe the person who yells ""Lisa P's back"" and Lisa P.","man who yells ""Lisa P's back"": shoulder length light brown hair, blue shirt, fanny pack, jeans, excited. Lisa P: pink ""rides"" shirt tied at waist and cutoff neckline, white jeans, necklace, earrings, sno-cone",
87,AMAZI_14a,Amazing Grace,14,1:46.40/2551-2:16.41/3270,30.01s,16x9 (may be 1.77:1 to 1.85:1),851x472,biography/drama/history,drama/other,6,4,3,0,3,indoor,2,low,5,what did you see on the desk?,"feather quill, ink bottle, rolled paper, papers, book, glass of water",
88,AMAZI_20a,Amazing Grace,20,00:00.00/1-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),851x472,biography/drama/history,drama/other,5,1,3,4,0,outdoor,4,high,2,tell me as much as you can about what the man is carrying,"baby, sleeping, white gown, white hat, wakes up at end of clip",
89,AMAZI_2a,Amazing Grace,2,0:58.02/1391-1:28.02/2110,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x472,biography/drama/history,drama/other,0,2,5,0,3,outdoor,3,medium,4,describe the dress and appearance of the two men,"man on left has curly blond wig in a ponytail, dark blue/black coat with buttons, hat, white shirt with bow; man on right has curly blond wig in a ponytail, curls above the ears, grey coat, brown collar, white shirt with  bow, hat with buckle, coat is partially unbuttoned, gloves",
90,AMAZI_2b,Amazing Grace,2,2:54.93/4193-3:24.97/4913,30.03s,16x9 (may be 1.77:1 to 1.85:1),851x472,biography/drama/history,drama/other,5,2,3,1,0,"outdoor, raining",3,medium,4,tell me about the woman,"young (20s),waiting, striped/patterned white skirt with purple jacket, red & hat with feather, reddish long curly hair in fancy up-do, blue eyes",
91,AMAZI_8a,Amazing Grace,8,0:14.56/349-0:44.56/1068,29.99s,16x9 (may be 1.77:1 to 1.85:1),851x472,biography/drama/history,drama/other,8,3,3,0,3,indoor,3,medium,3,tell me about the first man and his actions,"long/chin-length black hair, wearing gold double-buttoned jacket, long black coat, white shirt tied at the neck, reaches for & eats raisins, startled by 2nd man but acts cordial",
92,APPAL_10a,Appaloosa,10,0:56.50/1355-1:26.53/2075,30.03s,21x9,853x360,action/crime/drama (Western?),drama/other,6,3,3,3,2,outdoor,2,low,0,describe the men and their actions,"one man is in brown, with cowboy hat, coat, boots & has two guns, mustache&goatee, blue eyes; other man is in black (suit), jacket, hat, middle-aged, no facial hair, greying hair; both men creep/move stealthily to either side of small building (outhouse) and wait for man inside",
93,APPAL_18a,Appaloosa,18,00:08.44/202-00:38.47/922,30.03s,21x9,853x360,action/crime/drama (Western?),drama/other,4,1,4,4,3,outdoor,4,high,2,describe what the two men see,"man sitting, man standing, campfire, under tree, horses",
94,APPAL_2a,Appaloosa,2,00:07.32/176-00:37.35/896,30.03s,21x9,853x360,action/crime/drama (Western?),drama/other,3,0,2,5,0,outdoor,4,high,"? Lots of audio, but not directly related to visuals",describe what you saw in this scene,"landscape, hills, trees, brown grass, three horses, two men ride two of the horses",
95,APPAL_5a,Appaloosa,5,01:59.66/2869-02:29.69-3588,30.03s,21x9,853x360,action/crime/drama (Western?),drama/other,5,1,3,0,3,indoor,4,high,4,describe where characters are standing or sitting,"woman sitting alone at table next to kitchen, older man (city marshal) sitting alone at a separate table to the left of her, other man (deputy) is standing at outside door & walks in, server initially standing next to woman & walks into kitchen",
96,APPAL_7b,Appaloosa,7,02:18.95/3331-02:48.98/4051,30.03s,21x9,853x360,action/crime/drama (Western?),drama/other,3,2,4,0,4,indoor,2,low,3,describe how the characters are dressed,"woman: red/burgundy/maroon dress with lace trim, man in middle: black suit, black hat, man on right: cowboy hat, boots, vest, star pin","woman: dress, red/maroon, "
97,BATM_15a,Batman Forever,15,01:02.31/1494-01:32.34/2214,30.03s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,0,4,3,0,2,indoor,2,low,2,,,
98,BATM_18a,Batman Forever,8,00:00.00/0-00:30.01/719,30.01s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,3,3,2,0,3,indoor,2,low,3,,,
99,BATM_21a,Batman Forever,21,00:36.69/880-1:06.72/1600,30.03s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,6,2,5,0,3,indoor,2,low,3,,,
100,BATM_37a,Batman Forever,37,00:51.59/1237-01:21.60/1956,30.00s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,5,2,3,0,3,indoor,2,low,4,,,
101,BATM_6a,Batman Forever,6,00:55.77/1337-01:25.80/2057,30.02s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,5,2,3,0,4,outdoor,2,low,3,,,
102,BATM_9a,Batman Forever,9,00:17.53/421-00:47.56/1141,30.03s,16x9 (may be 1.77:1 to 1.85:1),849x480,action/crime/fantasy,drama/other,7,1,3,0,3,indoor,3,medium,2,,,
103,BLIND_5a,Blindness,5,00:10.56/253-00:40.57/973,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x468,drama/mystery/thriller,drama/other,2,1,4,0,4,indoor,3,medium,3,describe how the characters move,"holding on to things, stumbling, hesitating, woman feels in front of her with foot, seem like they're blind",
104,BURY_15a,Bury My Heart at Wounded Knee,15,00:00.00/01-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,0,0,2,4,1,outdoor,2,low,0,describe what happened in this scene,"crouching man stands, puts something in pocket, looks into distance, walks to & mounts horse, by river",
105,BURY_1b,Bury My Heart at Wounded Knee,1,08:33.51/12313-09:03.54/13033,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,8,3,5,2,4,outdoor,3,medium,2,how does the man who arrives compare to the other people in the scene?,"western clothes, hat, shoes, short hair, but looks native american; others dressed in traditional clothes, leather, beads, long hair, feathers in hair, ",
106,BURY_3a,Bury My Heart at Wounded Knee,3,03:33.76/5126-04:03.77/5846,30.01s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,6,4,4,4,2,outdoor,4,high,5,describe what the man on the left is wearing,"leather jacket with beaded sleeves and fringes, braids with fur woven in, earring, beaded necklace, feather in hair, pink and white striped shirt",
107,BURY_5b,Bury My Heart at Wounded Knee,5,06:59.41/10057-07:29.44/10778,30.02s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,0,2,4,0,2,outdoor,1,low,4,where does this scene takes place and why do you think so,"around campfire, outdoor, native americans/indians",
108,BURY_7a,Bury My Heart at Wounded Knee,7,00:00.00/01-00:30.04/721,30.04s,16x9 (may be 1.77:1 to 1.85:1),853x480,drama/history/western,drama/other,3,4,4,3,2,outdoor,3,medium,4,tell me about the characters,"two couples; a younger man (the speaker) and woman on a horse, a middle-aged man and woman sitting on the ground, woman on ground looks concerned",
109,DREAMG_3a,Dreamgirls,3,00:03.03/73-00:33.06/793,30.03s,21x9,853x366,drama/music/musical,drama/other,2,3,3,0,4,indoor,2,low,1,"where does this scene take place, and why do you think so?","backstage/on stage behind curtain, piano & drumset & speakers, people setting up in background, lit sign, spotlight, women in performance clothes/same dresses",
110,DREAMG_9a,Dreamgirls,9,00:04.47/107-00:34.50/827,30.03s,21x9,853x366,drama/music/musical,drama/other,3,2,4,0,0,indoor,2,low,1,tell me about the women and their outfits,"african american, matching, white strapless dresses, blue edge on top, silver sequins, flare/ruffles on bottom, shorter in front, blue underneath, bobbed hair, gloves, ",
111,EASTE_11a,Eastern Promises,11,00:00.00/00-00:30.04/720,30.04s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,5,3,3,0,4,outdoor,3,medium,4,describe the man and his actions,"leans against motorcycle, wearing black jacket, slicked back hair, tattooed hands, fiddles with keys, takes piece of paper out of pocket",
112,EASTE_15a,Eastern Promises,17,00:00.00/00-00:30.02/719,30.02s,16x9 (may be 1.77:1 to 1.85:1),841x460,crime/drama/mystery,drama/other,1,2,3,0,1,outdoor,3,medium,3,describe the men,"waiting man:, bald, white mustache, black jacket and tie, man who gets out of car: brown hair, black jacket and gloves, sunglasses",
